cellnumber,    x-coordinate,    y-coordinate,        pressure,         density,  axial-velocity, radial-velocity,    total-energy
         1, 8.399999738E-01, 1.658461541E-01, 6.294958208E+04, 7.477632355E-01, 1.162346302E+02, 2.523954905E+00, 2.177451594E+05
         2, 8.399999738E-01, 1.615384668E-01, 6.293869396E+04, 7.475059329E-01, 1.157893221E+02, 2.938073491E+00, 2.177307481E+05
         3, 8.399999738E-01, 1.572307646E-01, 6.292764097E+04, 7.469443166E-01, 1.143022603E+02, 3.258312807E+00, 2.176822383E+05
         4, 8.399999738E-01, 1.529230773E-01, 6.291759515E+04, 7.457409039E-01, 1.104752212E+02, 3.458320146E+00, 2.175597590E+05
         5, 8.399999738E-01, 1.486153901E-01, 6.291007452E+04, 7.441033141E-01, 1.047517241E+02, 3.553605295E+00, 2.173841898E+05
         6, 8.399999738E-01, 1.443076879E-01, 6.290570081E+04, 7.421230131E-01, 9.711933936E+01, 3.560520315E+00, 2.171644817E+05
         7, 8.399999738E-01, 1.400000006E-01, 6.289402977E+04, 7.401693970E-01, 8.929275380E+01, 3.649243514E+00, 2.169565208E+05
         8, 8.399999738E-01, 1.356923133E-01, 6.288609163E+04, 7.430729031E-01, 1.018433231E+02, 4.206101944E+00, 2.172992280E+05
         9, 8.399999738E-01, 1.313846111E-01, 6.288237205E+04, 7.481612267E-01, 1.201588920E+02, 4.764305637E+00, 2.178797758E+05
        10, 8.399999738E-01, 1.270769238E-01, 6.287856330E+04, 7.505061573E-01, 1.277228656E+02, 4.986621485E+00, 2.181474595E+05
        11, 8.399999738E-01, 1.227692291E-01, 6.287306660E+04, 7.490407943E-01, 1.233528874E+02, 4.913776452E+00, 2.179908943E+05
        12, 8.399999738E-01, 1.184615418E-01, 6.285957378E+04, 7.467004632E-01, 1.161835067E+02, 4.829540147E+00, 2.177458828E+05
        13, 8.399999738E-01, 1.141538471E-01, 6.285174461E+04, 7.489439931E-01, 1.238478252E+02, 5.035816160E+00, 2.180085147E+05
