cellnumber,    x-coordinate,    y-coordinate,        pressure,         density,  axial-velocity, radial-velocity,    total-energy
         1, 8.399999738E-01, 1.658461541E-01, 7.746724502E+04, 9.073391435E-01, 7.167349951E+01, 1.508109674E+00, 2.165505098E+05
         2, 8.399999738E-01, 1.615384668E-01, 7.746307297E+04, 9.059567914E-01, 6.523596148E+01, 1.540923578E+00, 2.164248404E+05
         3, 8.399999738E-01, 1.572307646E-01, 7.746024088E+04, 9.048586898E-01, 5.958151699E+01, 1.563639169E+00, 2.163242057E+05
         4, 8.399999738E-01, 1.529230773E-01, 7.745707577E+04, 9.039904701E-01, 5.475231571E+01, 1.608480138E+00, 2.162454896E+05
         5, 8.399999738E-01, 1.486153901E-01, 7.745367356E+04, 9.047644418E-01, 5.947483965E+01, 1.874455000E+00, 2.163225469E+05
         6, 8.399999738E-01, 1.443076879E-01, 7.745049557E+04, 9.073794903E-01, 7.273338169E+01, 2.299329189E+00, 2.165727651E+05
         7, 8.399999738E-01, 1.400000006E-01, 7.744701194E+04, 9.107372950E-01, 8.672865689E+01, 2.690718741E+00, 2.168912905E+05
         8, 8.399999738E-01, 1.356923133E-01, 7.744302849E+04, 9.132669892E-01, 9.593149944E+01, 2.937532429E+00, 2.171312015E+05
         9, 8.399999738E-01, 1.313846111E-01, 7.743889220E+04, 9.141423043E-01, 9.901231966E+01, 3.026884021E+00, 2.172169225E+05
        10, 8.399999738E-01, 1.270769238E-01, 7.743414265E+04, 9.137817249E-01, 9.800773084E+01, 3.020646177E+00, 2.171886929E+05
        11, 8.399999738E-01, 1.227692291E-01, 7.742907571E+04, 9.138992568E-01, 9.859359914E+01, 3.040416801E+00, 2.172051352E+05
        12, 8.399999738E-01, 1.184615418E-01, 7.742468532E+04, 9.154576126E-01, 1.037550473E+02, 3.135140990E+00, 2.173541539E+05
        13, 8.399999738E-01, 1.141538471E-01, 7.742100629E+04, 9.176927403E-01, 1.106212919E+02, 3.239119330E+00, 2.175641529E+05
        14, 8.399999738E-01, 1.098461524E-01, 7.741759420E+04, 9.192412357E-01, 1.151496646E+02, 3.276541814E+00, 2.177099804E+05
        15, 8.399999738E-01, 1.055384651E-01, 7.741441258E+04, 9.194345622E-01, 1.157939103E+02, 3.224686479E+00, 2.177311494E+05
        16, 8.399999738E-01, 1.012307703E-01, 7.741095998E+04, 9.185893787E-01, 1.135431483E+02, 3.111689608E+00, 2.176574385E+05
        17, 8.399999738E-01, 9.692307562E-02, 7.740703306E+04, 9.181221614E-01, 1.123473076E+02, 3.012826327E+00, 2.176188313E+05
        18, 8.399999738E-01, 9.261538833E-02, 7.740357131E+04, 9.193064972E-01, 1.158023011E+02, 2.983517453E+00, 2.177312130E+05
        19, 8.399999738E-01, 8.830769360E-02, 7.740090929E+04, 9.216811379E-01, 1.222767450E+02, 2.990952861E+00, 2.179510301E+05
        20, 8.399999738E-01, 8.399999887E-02, 7.739842945E+04, 9.237036116E-01, 1.275145642E+02, 2.969330074E+00, 2.181375867E+05
        21, 8.399999738E-01, 7.969231158E-02, 7.739578780E+04, 9.243942263E-01, 1.293037819E+02, 2.888016708E+00, 2.182030450E+05
        22, 8.399999738E-01, 7.538461685E-02, 7.739320834E+04, 9.238445065E-01, 1.280251899E+02, 2.752520477E+00, 2.181560174E+05
        23, 8.399999738E-01, 7.107692212E-02, 7.739104157E+04, 9.226706800E-01, 1.251417368E+02, 2.582625477E+00, 2.180517895E+05
        24, 8.399999738E-01, 6.676923484E-02, 7.738881022E+04, 9.215341018E-01, 1.222819340E+02, 2.405155213E+00, 2.179507605E+05
        25, 8.399999738E-01, 6.246153638E-02, 7.738632508E+04, 9.217123305E-01, 1.228263189E+02, 2.265476889E+00, 2.179696953E+05
