cellnumber,    x-coordinate,    y-coordinate,        pressure,         density,  axial-velocity, radial-velocity,    total-energy
         1, 8.399999738E-01, 1.658461541E-01, 7.478896374E+04, 8.756548074E-01, 7.015632068E+01, 1.482074224E+00, 2.165198135E+05
         2, 8.399999738E-01, 1.615384668E-01, 7.478575568E+04, 8.741946165E-01, 6.282635964E+01, 1.507651112E+00, 2.163808220E+05
         3, 8.399999738E-01, 1.572307646E-01, 7.478278603E+04, 8.729203847E-01, 5.563451138E+01, 1.541086646E+00, 2.162593463E+05
         4, 8.399999738E-01, 1.529230773E-01, 7.477892592E+04, 8.732446658E-01, 5.786534939E+01, 1.807421376E+00, 2.162955802E+05
         5, 8.399999738E-01, 1.486153901E-01, 7.477556571E+04, 8.758599240E-01, 7.187718802E+01, 2.304194815E+00, 2.165551121E+05
         6, 8.399999738E-01, 1.443076879E-01, 7.477196299E+04, 8.794363489E-01, 8.733498770E+01, 2.767488004E+00, 2.169064006E+05
         7, 8.399999738E-01, 1.400000006E-01, 7.476782348E+04, 8.820476257E-01, 9.707598049E+01, 3.053571538E+00, 2.171628007E+05
         8, 8.399999738E-01, 1.356923133E-01, 7.476335050E+04, 8.827523485E-01, 9.966542490E+01, 3.154449661E+00, 2.172355388E+05
         9, 8.399999738E-01, 1.313846111E-01, 7.475792776E+04, 8.822861599E-01, 9.829765894E+01, 3.162531511E+00, 2.171969342E+05
        10, 8.399999738E-01, 1.270769238E-01, 7.475233607E+04, 8.826640427E-01, 9.980404762E+01, 3.223109437E+00, 2.172395444E+05
        11, 8.399999738E-01, 1.227692291E-01, 7.474779763E+04, 8.845260591E-01, 1.060477885E+02, 3.357816795E+00, 2.174229551E+05
        12, 8.399999738E-01, 1.184615418E-01, 7.474409194E+04, 8.866409054E-01, 1.126417967E+02, 3.468983029E+00, 2.176287012E+05
        13, 8.399999738E-01, 1.141538471E-01, 7.474073820E+04, 8.876063897E-01, 1.155750789E+02, 3.482974397E+00, 2.177241764E+05
        14, 8.399999738E-01, 1.098461524E-01, 7.473713822E+04, 8.871295750E-01, 1.143207363E+02, 3.403000789E+00, 2.176829760E+05
        15, 8.399999738E-01, 1.055384651E-01, 7.473264926E+04, 8.863951996E-01, 1.123206936E+02, 3.305997691E+00, 2.176182429E+05
        16, 8.399999738E-01, 1.012307703E-01, 7.472838103E+04, 8.871335928E-01, 1.146383588E+02, 3.279703976E+00, 2.176932290E+05
        17, 8.399999738E-01, 9.692307562E-02, 7.472521973E+04, 8.893341390E-01, 1.209476116E+02, 3.307338992E+00, 2.179052144E+05
        18, 8.399999738E-01, 9.261538833E-02, 7.472258305E+04, 8.914102356E-01, 1.265755023E+02, 3.307470257E+00, 2.181038638E+05
        19, 8.399999738E-01, 8.830769360E-02, 7.471999606E+04, 8.921019509E-01, 1.284444012E+02, 3.233425555E+00, 2.181717598E+05
        20, 8.399999738E-01, 8.399999887E-02, 7.471758958E+04, 8.913441343E-01, 1.265640257E+02, 3.088308703E+00, 2.181032497E+05
        21, 8.399999738E-01, 7.969231158E-02, 7.471473474E+04, 8.899041966E-01, 1.228448925E+02, 2.908982660E+00, 2.179708209E+05
        22, 8.399999738E-01, 7.538461685E-02, 7.471133035E+04, 8.895517255E-01, 1.220049901E+02, 2.768257849E+00, 2.179413809E+05
