cellnumber,    x-coordinate,    y-coordinate,        pressure,         density,  axial-velocity, radial-velocity,    total-energy
         1, 8.399999738E-01, 1.658461541E-01, 7.270106167E+04, 8.552576842E-01, 8.806795097E+01, 1.863403846E+00, 2.169241394E+05
         2, 8.399999738E-01, 1.615384668E-01, 7.269452232E+04, 8.535991318E-01, 8.155429436E+01, 1.956878818E+00, 2.167666348E+05
         3, 8.399999738E-01, 1.572307646E-01, 7.268965734E+04, 8.525096996E-01, 7.699080741E+01, 2.047698559E+00, 2.166635114E+05
         4, 8.399999738E-01, 1.529230773E-01, 7.268627689E+04, 8.510629412E-01, 7.027778225E+01, 2.055304093E+00, 2.165225370E+05
         5, 8.399999738E-01, 1.486153901E-01, 7.268084448E+04, 8.497283208E-01, 6.358411922E+01, 2.097796997E+00, 2.163947869E+05
         6, 8.399999738E-01, 1.443076879E-01, 7.267626853E+04, 8.513299017E-01, 7.216125512E+01, 2.488561214E+00, 2.165610751E+05
         7, 8.399999738E-01, 1.400000006E-01, 7.267251608E+04, 8.549614343E-01, 8.819360916E+01, 2.984537654E+00, 2.169280732E+05
         8, 8.399999738E-01, 1.356923133E-01, 7.266850061E+04, 8.583490865E-01, 1.008027469E+02, 3.339136732E+00, 2.172682253E+05
         9, 8.399999738E-01, 1.313846111E-01, 7.266427891E+04, 8.597276700E-01, 1.055776604E+02, 3.481096467E+00, 2.174088903E+05
        10, 8.399999738E-01, 1.270769238E-01, 7.265850240E+04, 8.591245119E-01, 1.038158216E+02, 3.474789120E+00, 2.173562755E+05
        11, 8.399999738E-01, 1.227692291E-01, 7.265188314E+04, 8.590365083E-01, 1.037824988E+02, 3.502797109E+00, 2.173553167E+05
        12, 8.399999738E-01, 1.184615418E-01, 7.264662150E+04, 8.608349656E-01, 1.097806835E+02, 3.632281815E+00, 2.175381205E+05
        13, 8.399999738E-01, 1.141538471E-01, 7.264267855E+04, 8.632508370E-01, 1.172139006E+02, 3.755073823E+00, 2.177788625E+05
        14, 8.399999738E-01, 1.098461524E-01, 7.263920757E+04, 8.644445651E-01, 1.207560315E+02, 3.771505149E+00, 2.178990823E+05
        15, 8.399999738E-01, 1.055384651E-01, 7.263588407E+04, 8.638549869E-01, 1.191955448E+02, 3.670833982E+00, 2.178455792E+05
        16, 8.399999738E-01, 1.012307703E-01, 7.263097809E+04, 8.624102416E-01, 1.151552976E+02, 3.523894829E+00, 2.177104077E+05
        17, 8.399999738E-01, 9.692307562E-02, 7.262592731E+04, 8.626400600E-01, 1.160154090E+02, 3.461670837E+00, 2.177386996E+05
        18, 8.399999738E-01, 9.261538833E-02, 7.262261098E+04, 8.650311210E-01, 1.229560235E+02, 3.487944771E+00, 2.179752467E+05
        19, 8.399999738E-01, 8.830769360E-02, 7.262015893E+04, 8.675752860E-01, 1.298629823E+02, 3.495602324E+00, 2.182242675E+05
        20, 8.399999738E-01, 8.399999887E-02, 7.261757376E+04, 8.685082398E-01, 1.323492877E+02, 3.418992668E+00, 2.183171598E+05
        21, 8.399999738E-01, 7.969231158E-02, 7.261499655E+04, 8.676926782E-01, 1.303346643E+02, 3.259409638E+00, 2.182415415E+05
        22, 8.399999738E-01, 7.538461685E-02, 7.261259594E+04, 8.659813016E-01, 1.258892788E+02, 3.050862068E+00, 2.180789280E+05
        23, 8.399999738E-01, 7.107692212E-02, 7.260880573E+04, 8.646665018E-01, 1.224168720E+02, 2.856789434E+00, 2.179558102E+05
        24, 8.399999738E-01, 6.676923484E-02, 7.260577042E+04, 8.662234111E-01, 1.267651284E+02, 2.761041869E+00, 2.181102440E+05
