cellnumber,    x-coordinate,    y-coordinate,        pressure,         density,  axial-velocity, radial-velocity,    total-energy
         1, 8.399999738E-01, 1.658461541E-01, 7.339690111E+04, 8.623790581E-01, 8.378840922E+01, 1.768021472E+00, 2.168192109E+05
         2, 8.399999738E-01, 1.615384668E-01, 7.339135789E+04, 8.605356224E-01, 7.607205272E+01, 1.817114693E+00, 2.166433306E+05
         3, 8.399999738E-01, 1.572307646E-01, 7.338766047E+04, 8.592316123E-01, 7.006632386E+01, 1.868070674E+00, 2.165182002E+05
         4, 8.399999738E-01, 1.529230773E-01, 7.338396725E+04, 8.579071294E-01, 6.336151799E+01, 1.897934588E+00, 2.163906433E+05
         5, 8.399999738E-01, 1.486153901E-01, 7.337909451E+04, 8.580350191E-01, 6.436606635E+01, 2.126865768E+00, 2.164090719E+05
         6, 8.399999738E-01, 1.443076879E-01, 7.337517407E+04, 8.606840958E-01, 7.757919008E+01, 2.599825563E+00, 2.166768468E+05
         7, 8.399999738E-01, 1.400000006E-01, 7.337135759E+04, 8.643205127E-01, 9.253228569E+01, 3.043907500E+00, 2.170399401E+05
         8, 8.399999738E-01, 1.356923133E-01, 7.336714094E+04, 8.668215551E-01, 1.015493138E+02, 3.304570822E+00, 2.172897352E+05
         9, 8.399999738E-01, 1.313846111E-01, 7.336239687E+04, 8.672786914E-01, 1.032616481E+02, 3.379633919E+00, 2.173398178E+05
        10, 8.399999738E-01, 1.270769238E-01, 7.335631653E+04, 8.667538280E-01, 1.017494184E+02, 3.381722459E+00, 2.172956097E+05
        11, 8.399999738E-01, 1.227692291E-01, 7.335033027E+04, 8.674387233E-01, 1.042565002E+02, 3.457672825E+00, 2.173693340E+05
        12, 8.399999738E-01, 1.184615418E-01, 7.334577440E+04, 8.695734367E-01, 1.111795305E+02, 3.594758875E+00, 2.175821587E+05
        13, 8.399999738E-01, 1.141538471E-01, 7.334211531E+04, 8.715338486E-01, 1.171332120E+02, 3.679163172E+00, 2.177760854E+05
        14, 8.399999738E-01, 1.098461524E-01, 7.333882487E+04, 8.719808209E-01, 1.185299982E+02, 3.649799598E+00, 2.178229951E+05
        15, 8.399999738E-01, 1.055384651E-01, 7.333479680E+04, 8.709796623E-01, 1.157786090E+02, 3.532491051E+00, 2.177309430E+05
        16, 8.399999738E-01, 1.012307703E-01, 7.332974618E+04, 8.703380241E-01, 1.140648033E+02, 3.433572965E+00, 2.176746727E+05
        17, 8.399999738E-01, 9.692307562E-02, 7.332555213E+04, 8.716973902E-01, 1.181775567E+02, 3.427931328E+00, 2.178108745E+05
        18, 8.399999738E-01, 9.261538833E-02, 7.332267690E+04, 8.742529726E-01, 1.253519780E+02, 3.456253621E+00, 2.180600544E+05
        19, 8.399999738E-01, 8.830769360E-02, 7.332010673E+04, 8.760351918E-01, 1.301168265E+02, 3.428697709E+00, 2.182336125E+05
        20, 8.399999738E-01, 8.399999887E-02, 7.331751981E+04, 8.760846477E-01, 1.303264867E+02, 3.315064546E+00, 2.182412898E+05
        21, 8.399999738E-01, 7.969231158E-02, 7.331522033E+04, 8.747581403E-01, 1.269435675E+02, 3.132574055E+00, 2.181170119E+05
        22, 8.399999738E-01, 7.538461685E-02, 7.331184187E+04, 8.730533586E-01, 1.224556235E+02, 2.931121507E+00, 2.179572247E+05
        23, 8.399999738E-01, 7.107692212E-02, 7.330828053E+04, 8.733810300E-01, 1.234732020E+02, 2.803232785E+00, 2.179928066E+05
        24, 8.399999738E-01, 6.676923484E-02, 7.330625110E+04, 8.763092779E-01, 1.312592682E+02, 2.756447324E+00, 2.182756015E+05
        25, 8.399999738E-01, 6.246153638E-02, 7.330488206E+04, 8.794089212E-01, 1.389526811E+02, 2.705827525E+00, 2.185720108E+05
        26, 8.399999738E-01, 5.815384537E-02, 7.330300435E+04, 8.805972990E-01, 1.418175304E+02, 2.599605573E+00, 2.186866342E+05
        27, 8.399999738E-01, 5.384615436E-02, 7.330052633E+04, 8.799494806E-01, 1.403674000E+02, 2.441642703E+00, 2.186281669E+05
        28, 8.399999738E-01, 4.953845963E-02, 7.329795482E+04, 8.786257105E-01, 1.372745655E+02, 2.255006091E+00, 2.185055893E+05
        29, 8.399999738E-01, 4.523076862E-02, 7.329574487E+04, 8.774716751E-01, 1.345118240E+02, 2.056389249E+00, 2.183983908E+05
        30, 8.399999738E-01, 4.092307761E-02, 7.329407782E+04, 8.766806701E-01, 1.325860206E+02, 1.850897962E+00, 2.183249250E+05
        31, 8.399999738E-01, 3.661538288E-02, 7.329293415E+04, 8.761062687E-01, 1.311661946E+02, 1.637888174E+00, 2.182714171E+05
        32, 8.399999738E-01, 3.230769187E-02, 7.329169350E+04, 8.757023058E-01, 1.301712070E+02, 1.422094967E+00, 2.182342426E+05
        33, 8.399999738E-01, 2.800000086E-02, 7.329006051E+04, 8.770156627E-01, 1.335553154E+02, 1.232440868E+00, 2.183614406E+05
        34, 8.399999738E-01, 2.369230799E-02, 7.328893865E+04, 8.816576877E-01, 1.446780473E+02, 1.088553390E+00, 2.188027060E+05
        35, 8.399999738E-01, 1.938461512E-02, 7.328762998E+04, 8.847799883E-01, 1.516558104E+02, 9.451218818E-01, 2.190975290E+05
        36, 8.399999738E-01, 1.507692318E-02, 7.328525555E+04, 8.842051485E-01, 1.504691600E+02, 7.826813475E-01, 2.190463632E+05
        37, 8.399999738E-01, 1.076923031E-02, 7.328116294E+04, 8.819745850E-01, 1.456153261E+02, 6.065767073E-01, 2.188413884E+05
        38, 8.399999738E-01, 6.461538374E-03, 7.327347051E+04, 8.800355934E-01, 1.413560742E+02, 4.256547266E-01, 2.186670617E+05
        39, 8.399999738E-01, 2.153846202E-03, 7.324781840E+04, 8.784841818E-01, 1.384025830E+02, 2.891974139E-01, 2.185492209E+05
