cellnumber,    x-coordinate,    y-coordinate,        pressure,         density,  axial-velocity, radial-velocity,    total-energy
         1, 8.399999738E-01, 1.658461541E-01, 6.851480492E+04, 8.079939169E-01, 9.601364201E+01, 2.035643610E+00, 2.171328131E+05
         2, 8.399999738E-01, 1.615384668E-01, 6.850852217E+04, 8.056308402E-01, 8.676877139E+01, 2.108674665E+00, 2.168918874E+05
         3, 8.399999738E-01, 1.572307646E-01, 6.850487524E+04, 8.037941013E-01, 7.872548229E+01, 2.174346486E+00, 2.167021072E+05
         4, 8.399999738E-01, 1.529230773E-01, 6.849857416E+04, 8.019573922E-01, 6.988289891E+01, 2.260018748E+00, 2.165147706E+05
         5, 8.399999738E-01, 1.486153901E-01, 6.849240090E+04, 8.034256125E-01, 7.765105854E+01, 2.740450366E+00, 2.166785451E+05
         6, 8.399999738E-01, 1.443076879E-01, 6.848783853E+04, 8.074567386E-01, 9.513211134E+01, 3.353732252E+00, 2.171097982E+05
         7, 8.399999738E-01, 1.400000006E-01, 6.848321388E+04, 8.108910949E-01, 1.077326969E+02, 3.763036736E+00, 2.174747352E+05
         8, 8.399999738E-01, 1.356923133E-01, 6.847830492E+04, 8.116209905E-01, 1.103644666E+02, 3.898099996E+00, 2.175567335E+05
         9, 8.399999738E-01, 1.313846111E-01, 6.847003927E+04, 8.103392138E-01, 1.063767272E+02, 3.892632834E+00, 2.174334752E+05
        10, 8.399999738E-01, 1.270769238E-01, 6.846188310E+04, 8.108612952E-01, 1.084761732E+02, 4.015149191E+00, 2.174979371E+05
        11, 8.399999738E-01, 1.227692291E-01, 6.845670698E+04, 8.134529001E-01, 1.170309415E+02, 4.229862702E+00, 2.177732919E+05
        12, 8.399999738E-01, 1.184615418E-01, 6.845298835E+04, 8.154587923E-01, 1.232027419E+02, 4.341754642E+00, 2.179848610E+05
        13, 8.399999738E-01, 1.141538471E-01, 6.844962145E+04, 8.151948945E-01, 1.225473667E+02, 4.278874805E+00, 2.179618163E+05
        14, 8.399999738E-01, 1.098461524E-01, 6.844353058E+04, 8.132725748E-01, 1.169612364E+02, 4.118829478E+00, 2.177708335E+05
        15, 8.399999738E-01, 1.055384651E-01, 6.843649212E+04, 8.129900798E-01, 1.163445135E+02, 4.061269404E+00, 2.177502482E+05
        16, 8.399999738E-01, 1.012307703E-01, 6.843236813E+04, 8.154329664E-01, 1.238521484E+02, 4.134943950E+00, 2.180074902E+05
        17, 8.399999738E-01, 9.692307562E-02, 6.842992519E+04, 8.181044594E-01, 1.314597642E+02, 4.178017717E+00, 2.182845196E+05
        18, 8.399999738E-01, 9.261538833E-02, 6.842750841E+04, 8.187428646E-01, 1.332682499E+02, 4.093958512E+00, 2.183526919E+05
        19, 8.399999738E-01, 8.830769360E-02, 6.842507573E+04, 8.172715725E-01, 1.293360571E+02, 3.892589350E+00, 2.182052098E+05
        20, 8.399999738E-01, 8.399999887E-02, 6.842028782E+04, 8.150269551E-01, 1.231010114E+02, 3.655811775E+00, 2.179805052E+05
        21, 8.399999738E-01, 7.969231158E-02, 6.841501377E+04, 8.152113836E-01, 1.238276661E+02, 3.533169583E+00, 2.180059670E+05
        22, 8.399999738E-01, 7.538461685E-02, 6.841267478E+04, 8.185109449E-01, 1.331381791E+02, 3.526485349E+00, 2.183471339E+05
        23, 8.399999738E-01, 7.107692212E-02, 6.841136689E+04, 8.216970344E-01, 1.414560569E+02, 3.493915127E+00, 2.186728103E+05
        24, 8.399999738E-01, 6.676923484E-02, 6.840913403E+04, 8.224258644E-01, 1.433426425E+02, 3.367621805E+00, 2.187493060E+05
        25, 8.399999738E-01, 6.246153638E-02, 6.840616441E+04, 8.211300852E-01, 1.401903401E+02, 3.163844374E+00, 2.186216608E+05
        26, 8.399999738E-01, 5.815384537E-02, 6.840360831E+04, 8.192078352E-01, 1.352993403E+02, 2.917585441E+00, 2.184293022E+05
        27, 8.399999738E-01, 5.384615436E-02, 6.840210800E+04, 8.174115184E-01, 1.305124414E+02, 2.650653930E+00, 2.182476414E+05
        28, 8.399999738E-01, 4.953845963E-02, 6.839930344E+04, 8.160485489E-01, 1.268021462E+02, 2.394452756E+00, 2.181113131E+05
        29, 8.399999738E-01, 4.523076862E-02, 6.839676078E+04, 8.180202927E-01, 1.323559703E+02, 2.230368121E+00, 2.183164555E+05
        30, 8.399999738E-01, 4.092307761E-02, 6.839634113E+04, 8.229714212E-01, 1.450847526E+02, 2.134276761E+00, 2.188199930E+05
        31, 8.399999738E-01, 3.661538288E-02, 6.839588578E+04, 8.259555389E-01, 1.521827754E+02, 2.009084159E+00, 2.191208105E+05
        32, 8.399999738E-01, 3.230769187E-02, 6.839419261E+04, 8.253845510E-01, 1.509070744E+02, 1.832002567E+00, 2.190655753E+05
        33, 8.399999738E-01, 2.800000086E-02, 6.839169126E+04, 8.233514357E-01, 1.461509105E+02, 1.625129049E+00, 2.188639967E+05
        34, 8.399999738E-01, 2.369230799E-02, 6.838904877E+04, 8.217261874E-01, 1.422364586E+02, 1.408527690E+00, 2.187029226E+05
        35, 8.399999738E-01, 1.938461512E-02, 6.838634685E+04, 8.208621573E-01, 1.401447337E+02, 1.188906278E+00, 2.186186116E+05
        36, 8.399999738E-01, 1.507692318E-02, 6.838317663E+04, 8.204586491E-01, 1.392149402E+02, 9.667243015E-01, 2.185815029E+05
        37, 8.399999738E-01, 1.076923031E-02, 6.837863615E+04, 8.202061667E-01, 1.387086343E+02, 7.420389602E-01, 2.185613821E+05
        38, 8.399999738E-01, 6.461538374E-03, 6.837024406E+04, 8.198694516E-01, 1.381015857E+02, 5.184673708E-01, 2.185373795E+05
        39, 8.399999738E-01, 2.153846202E-03, 6.834190870E+04, 8.187917082E-01, 1.361805418E+02, 3.519386555E-01, 2.184622206E+05
