cellnumber,    x-coordinate,    y-coordinate,        pressure,         density,  axial-velocity, radial-velocity,    total-energy
         1, 8.399999738E-01, 1.658461541E-01, 6.503702164E+04, 7.708089858E-01, 1.103204460E+02, 2.374728150E+00, 2.175539854E+05
         2, 8.399999738E-01, 1.615384668E-01, 6.502738657E+04, 7.699720358E-01, 1.077665954E+02, 2.683536610E+00, 2.174747842E+05
         3, 8.399999738E-01, 1.572307646E-01, 6.501820042E+04, 7.688613986E-01, 1.041185100E+02, 2.908630499E+00, 2.173647357E+05
         4, 8.399999738E-01, 1.529230773E-01, 6.501073927E+04, 7.673775329E-01, 9.879971924E+01, 3.038062552E+00, 2.172109380E+05
         5, 8.399999738E-01, 1.486153901E-01, 6.500608040E+04, 7.655696976E-01, 9.165648902E+01, 3.079596196E+00, 2.170169679E+05
         6, 8.399999738E-01, 1.443076879E-01, 6.499732215E+04, 7.636621886E-01, 8.362748969E+01, 3.150931109E+00, 2.168163395E+05
         7, 8.399999738E-01, 1.400000006E-01, 6.498912318E+04, 7.654491655E-01, 9.197218877E+01, 3.619739455E+00, 2.170257516E+05
         8, 8.399999738E-01, 1.356923133E-01, 6.498471155E+04, 7.700500497E-01, 1.097807644E+02, 4.201264823E+00, 2.175387603E+05
         9, 8.399999738E-01, 1.313846111E-01, 6.498065297E+04, 7.731679226E-01, 1.203008221E+02, 4.520284099E+00, 2.178843212E+05
        10, 8.399999738E-01, 1.270769238E-01, 6.497571572E+04, 7.728338522E-01, 1.194240775E+02, 4.543722471E+00, 2.178543792E+05
        11, 8.399999738E-01, 1.227692291E-01, 6.496461721E+04, 7.708496982E-01, 1.133404490E+02, 4.483904396E+00, 2.176523698E+05
        12, 8.399999738E-01, 1.184615418E-01, 6.495605592E+04, 7.722289188E-01, 1.182279216E+02, 4.646753953E+00, 2.178139767E+05
        13, 8.399999738E-01, 1.141538471E-01, 6.495211082E+04, 7.755122114E-01, 1.284866267E+02, 4.856274432E+00, 2.181751824E+05
        14, 8.399999738E-01, 1.098461524E-01, 6.494913803E+04, 7.768923341E-01, 1.325848680E+02, 4.883258642E+00, 2.183277945E+05
        15, 8.399999738E-01, 1.055384651E-01, 6.494591706E+04, 7.753557855E-01, 1.282487357E+02, 4.709941991E+00, 2.181662728E+05
        16, 8.399999738E-01, 1.012307703E-01, 6.493801689E+04, 7.726112729E-01, 1.201457875E+02, 4.479238964E+00, 2.178789513E+05
        17, 8.399999738E-01, 9.692307562E-02, 6.493003141E+04, 7.729515906E-01, 1.215208472E+02, 4.439753643E+00, 2.179262894E+05
        18, 8.399999738E-01, 9.261538833E-02, 6.492723270E+04, 7.765633478E-01, 1.324063076E+02, 4.540112130E+00, 2.183205871E+05
        19, 8.399999738E-01, 8.830769360E-02, 6.492563169E+04, 7.792977205E-01, 1.400106586E+02, 4.546944996E+00, 2.186160036E+05
        20, 8.399999738E-01, 8.399999887E-02, 6.492300486E+04, 7.790325920E-01, 1.393886156E+02, 4.391292942E+00, 2.185910204E+05
        21, 8.399999738E-01, 7.969231158E-02, 6.492017296E+04, 7.767482391E-01, 1.331854074E+02, 4.120774934E+00, 2.183495750E+05
        22, 8.399999738E-01, 7.538461685E-02, 6.491624877E+04, 7.741748279E-01, 1.258094535E+02, 3.822809838E+00, 2.180768198E+05
        23, 8.399999738E-01, 7.107692212E-02, 6.490957045E+04, 7.736873233E-01, 1.245769344E+02, 3.638800332E+00, 2.180326169E+05
        24, 8.399999738E-01, 6.676923484E-02, 6.490757876E+04, 7.777305311E-01, 1.363671659E+02, 3.626644990E+00, 2.184713333E+05
        25, 8.399999738E-01, 6.246153638E-02, 6.490743626E+04, 7.818336337E-01, 1.472037769E+02, 3.591394139E+00, 2.189095055E+05
        26, 8.399999738E-01, 5.815384537E-02, 6.490556349E+04, 7.825501090E-01, 1.490630584E+02, 3.443060707E+00, 2.189879074E+05
        27, 8.399999738E-01, 5.384615436E-02, 6.490209622E+04, 7.808403737E-01, 1.448410668E+02, 3.212190121E+00, 2.188107385E+05
        28, 8.399999738E-01, 4.953845963E-02, 6.489864267E+04, 7.788405168E-01, 1.396961223E+02, 2.947495509E+00, 2.186017467E+05
        29, 8.399999738E-01, 4.523076862E-02, 6.489617293E+04, 7.774156632E-01, 1.358965266E+02, 2.670906745E+00, 2.184522008E+05
        30, 8.399999738E-01, 4.092307761E-02, 6.489484824E+04, 7.764007488E-01, 1.331017450E+02, 2.382211948E+00, 2.183447858E+05
        31, 8.399999738E-01, 3.661538288E-02, 6.489394975E+04, 7.754551789E-01, 1.304255440E+02, 2.081646740E+00, 2.182440244E+05
        32, 8.399999738E-01, 3.230769187E-02, 6.489077616E+04, 7.753974859E-01, 1.303722218E+02, 1.811434531E+00, 2.182418928E+05
        33, 8.399999738E-01, 2.800000086E-02, 6.489006704E+04, 7.813176449E-01, 1.464600647E+02, 1.649901051E+00, 2.188769112E+05
        34, 8.399999738E-01, 2.369230799E-02, 6.488979089E+04, 7.858025006E-01, 1.574087068E+02, 1.491517263E+00, 2.193512689E+05
        35, 8.399999738E-01, 1.938461512E-02, 6.488784479E+04, 7.851112239E-01, 1.558382668E+02, 1.292335178E+00, 2.192810373E+05
        36, 8.399999738E-01, 1.507692318E-02, 6.488417234E+04, 7.822178488E-01, 1.489134905E+02, 1.064937403E+00, 2.189800221E+05
        37, 8.399999738E-01, 1.076923031E-02, 6.487877469E+04, 7.799325866E-01, 1.432474887E+02, 8.240448293E-01, 2.187438964E+05
        38, 8.399999738E-01, 6.461538374E-03, 6.486942576E+04, 7.785058587E-01, 1.397689059E+02, 5.788919783E-01, 2.186034565E+05
        39, 8.399999738E-01, 2.153846202E-03, 6.483904827E+04, 7.769194971E-01, 1.364427057E+02, 3.936163749E-01, 2.184724175E+05
