cellnumber,    x-coordinate,    y-coordinate,        pressure,         density,  axial-velocity, radial-velocity,    total-energy
         1, 8.399999738E-01, 1.658461541E-01, 7.061568771E+04, 8.322569023E-01, 9.408694840E+01, 2.024627151E+00, 2.170805760E+05
         2, 8.399999738E-01, 1.615384668E-01, 7.060763492E+04, 8.318394191E-01, 9.284629127E+01, 2.299167934E+00, 2.170476730E+05
         3, 8.399999738E-01, 1.572307646E-01, 7.059958042E+04, 8.312360551E-01, 9.085898761E+01, 2.501334300E+00, 2.169957505E+05
         4, 8.399999738E-01, 1.529230773E-01, 7.059245243E+04, 8.303375698E-01, 8.758120901E+01, 2.619979898E+00, 2.169124310E+05
         5, 8.399999738E-01, 1.486153901E-01, 7.058738531E+04, 8.292111430E-01, 8.308571121E+01, 2.660473227E+00, 2.168030525E+05
         6, 8.399999738E-01, 1.443076879E-01, 7.058303378E+04, 8.277791894E-01, 7.686051482E+01, 2.644714003E+00, 2.166610522E+05
         7, 8.399999738E-01, 1.400000006E-01, 7.057618507E+04, 8.273317552E-01, 7.511010761E+01, 2.770938124E+00, 2.166232162E+05
         8, 8.399999738E-01, 1.356923133E-01, 7.057143374E+04, 8.300134624E-01, 8.724642572E+01, 3.189877489E+00, 2.169045570E+05
         9, 8.399999738E-01, 1.313846111E-01, 7.056774911E+04, 8.339272592E-01, 1.021684700E+02, 3.600451224E+00, 2.173080132E+05
        10, 8.399999738E-01, 1.270769238E-01, 7.056383751E+04, 8.364151224E-01, 1.106103725E+02, 3.814429726E+00, 2.175643894E+05
        11, 8.399999738E-01, 1.227692291E-01, 7.055912063E+04, 8.364974039E-01, 1.110506821E+02, 3.832216150E+00, 2.175783266E+05
        12, 8.399999738E-01, 1.184615418E-01, 7.055198844E+04, 8.355984415E-01, 1.084253651E+02, 3.790660181E+00, 2.174961149E+05
        13, 8.399999738E-01, 1.141538471E-01, 7.054544363E+04, 8.365504176E-01, 1.117326040E+02, 3.860044343E+00, 2.176000214E+05
        14, 8.399999738E-01, 1.098461524E-01, 7.054118119E+04, 8.391118554E-01, 1.196827605E+02, 3.986335088E+00, 2.178625203E+05
        15, 8.399999738E-01, 1.055384651E-01, 7.053787441E+04, 8.409648413E-01, 1.251005670E+02, 4.027829946E+00, 2.180516849E+05
        16, 8.399999738E-01, 1.012307703E-01, 7.053477143E+04, 8.407965657E-01, 1.247359023E+02, 3.935717987E+00, 2.180385882E+05
        17, 8.399999738E-01, 9.692307562E-02, 7.053055820E+04, 8.391416852E-01, 1.201476399E+02, 3.758773003E+00, 2.178781678E+05
        18, 8.399999738E-01, 9.261538833E-02, 7.052474234E+04, 8.382845077E-01, 1.178235559E+02, 3.626663777E+00, 2.177991605E+05
        19, 8.399999738E-01, 8.830769360E-02, 7.052063594E+04, 8.401856473E-01, 1.234976235E+02, 3.619168994E+00, 2.179944140E+05
