cellnumber,    x-coordinate,    y-coordinate,        pressure,         density,  axial-velocity, radial-velocity,    total-energy
         1, 8.399999738E-01, 1.658461541E-01, 6.921077098E+04, 8.149381585E-01, 9.108933875E+01, 1.929431903E+00, 2.170013662E+05
         2, 8.399999738E-01, 1.615384668E-01, 6.920556740E+04, 8.125424674E-01, 8.115466171E+01, 1.971334339E+00, 2.167573705E+05
         3, 8.399999738E-01, 1.572307646E-01, 6.920244720E+04, 8.105775030E-01, 7.186825588E+01, 2.010803147E+00, 2.165547508E+05
         4, 8.399999738E-01, 1.529230773E-01, 6.919513416E+04, 8.093756912E-01, 6.586853260E+01, 2.194669889E+00, 2.164370173E+05
         5, 8.399999738E-01, 1.486153901E-01, 6.919062580E+04, 8.123697497E-01, 8.114151351E+01, 2.831029070E+00, 2.167576553E+05
         6, 8.399999738E-01, 1.443076879E-01, 6.918626814E+04, 8.166897478E-01, 9.887899201E+01, 3.412761201E+00, 2.172135172E+05
         7, 8.399999738E-01, 1.400000006E-01, 6.918136665E+04, 8.192780667E-01, 1.081369172E+02, 3.726498484E+00, 2.174871388E+05
         8, 8.399999738E-01, 1.356923133E-01, 6.917556056E+04, 8.191513293E-01, 1.079404998E+02, 3.796825404E+00, 2.174811619E+05
         9, 8.399999738E-01, 1.313846111E-01, 6.916736406E+04, 8.181482412E-01, 1.048583060E+02, 3.808030110E+00, 2.173876431E+05
        10, 8.399999738E-01, 1.270769238E-01, 6.916025093E+04, 8.192101195E-01, 1.087358088E+02, 3.954967605E+00, 2.175059106E+05
        11, 8.399999738E-01, 1.227692291E-01, 6.915565223E+04, 8.217155415E-01, 1.169027310E+02, 4.145934794E+00, 2.177689144E+05
        12, 8.399999738E-01, 1.184615418E-01, 6.915208707E+04, 8.232080591E-01, 1.215155978E+02, 4.216969044E+00, 2.179258316E+05
        13, 8.399999738E-01, 1.141538471E-01, 6.914841122E+04, 8.226048748E-01, 1.198587574E+02, 4.134219581E+00, 2.178687037E+05
        14, 8.399999738E-01, 1.098461524E-01, 6.914194063E+04, 8.210345821E-01, 1.153042044E+02, 4.000373051E+00, 2.177158127E+05
        15, 8.399999738E-01, 1.055384651E-01, 6.913580443E+04, 8.215999191E-01, 1.172768766E+02, 3.990205358E+00, 2.177812279E+05
        16, 8.399999738E-01, 1.012307703E-01, 6.913234266E+04, 8.242564951E-01, 1.252380277E+02, 4.065493464E+00, 2.180566359E+05
        17, 8.399999738E-01, 9.692307562E-02, 6.912988936E+04, 8.264006783E-01, 1.312681459E+02, 4.076544576E+00, 2.182772202E+05
        18, 8.399999738E-01, 9.261538833E-02, 6.912741807E+04, 8.264355782E-01, 1.314457272E+02, 3.963167923E+00, 2.182837429E+05
        19, 8.399999738E-01, 8.830769360E-02, 6.912468992E+04, 8.247405011E-01, 1.268748564E+02, 3.754462531E+00, 2.181151358E+05
        20, 8.399999738E-01, 8.399999887E-02, 6.911931438E+04, 8.229640119E-01, 1.219663938E+02, 3.548429639E+00, 2.179407431E+05
        21, 8.399999738E-01, 7.969231158E-02, 6.911499930E+04, 8.242771207E-01, 1.259018173E+02, 3.477018191E+00, 2.180797752E+05
        22, 8.399999738E-01, 7.538461685E-02, 6.911321310E+04, 8.277865892E-01, 1.354963619E+02, 3.475078657E+00, 2.184374188E+05
        23, 8.399999738E-01, 7.107692212E-02, 6.911161332E+04, 8.302098678E-01, 1.417114861E+02, 3.416121881E+00, 2.186830471E+05
        24, 8.399999738E-01, 6.676923484E-02, 6.910909840E+04, 8.301953653E-01, 1.417539785E+02, 3.266461068E+00, 2.186846220E+05
        25, 8.399999738E-01, 6.246153638E-02, 6.910627843E+04, 8.286323818E-01, 1.379069364E+02, 3.051942004E+00, 2.185310078E+05
        26, 8.399999738E-01, 5.815384537E-02, 6.910413181E+04, 8.267371624E-01, 1.330312489E+02, 2.803943848E+00, 2.183424220E+05
        27, 8.399999738E-01, 5.384615436E-02, 6.910245572E+04, 8.251047625E-01, 1.286595593E+02, 2.546456744E+00, 2.181790844E+05
        28, 8.399999738E-01, 4.953845963E-02, 6.909910162E+04, 8.246668297E-01, 1.275577570E+02, 2.329604981E+00, 2.181386771E+05
        29, 8.399999738E-01, 4.523076862E-02, 6.909763233E+04, 8.284251041E-01, 1.376574757E+02, 2.217604277E+00, 2.185205785E+05
        30, 8.399999738E-01, 4.092307761E-02, 6.909740539E+04, 8.328741994E-01, 1.485812066E+02, 2.122562069E+00, 2.189664068E+05
        31, 8.399999738E-01, 3.661538288E-02, 6.909638236E+04, 8.341505900E-01, 1.515776501E+02, 1.978058297E+00, 2.190945796E+05
        32, 8.399999738E-01, 3.230769187E-02, 6.909427596E+04, 8.327351967E-01, 1.483472852E+02, 1.789715143E+00, 2.189563158E+05
        33, 8.399999738E-01, 2.800000086E-02, 6.909176741E+04, 8.308579587E-01, 1.439241591E+02, 1.582248466E+00, 2.187718667E+05
        34, 8.399999738E-01, 2.369230799E-02, 6.908929469E+04, 8.296422985E-01, 1.410007973E+02, 1.369729452E+00, 2.186529986E+05
        35, 8.399999738E-01, 1.938461512E-02, 6.908675746E+04, 8.290714051E-01, 1.396463590E+02, 1.155257534E+00, 2.185987156E+05
        36, 8.399999738E-01, 1.507692318E-02, 6.908371830E+04, 8.288362957E-01, 1.391456549E+02, 9.385833830E-01, 2.185787448E+05
        37, 8.399999738E-01, 1.076923031E-02, 6.907930216E+04, 8.286925235E-01, 1.389166669E+02, 7.198137882E-01, 2.185696132E+05
        38, 8.399999738E-01, 6.461538374E-03, 6.907107351E+04, 8.284465123E-01, 1.385430295E+02, 5.025215540E-01, 2.185547919E+05
        39, 8.399999738E-01, 2.153846202E-03, 6.904314885E+04, 8.274808097E-01, 1.369256391E+02, 3.410794316E-01, 2.184912375E+05
