cellnumber,    x-coordinate,    y-coordinate,        pressure,         density,  axial-velocity, radial-velocity,    total-energy
         1, 8.399999738E-01, 1.658461541E-01, 7.952172970E+04, 9.319025180E-01, 7.387972706E+01, 1.569908621E+00, 2.165963315E+05
         2, 8.399999738E-01, 1.615384668E-01, 7.951623845E+04, 9.310833074E-01, 7.051702220E+01, 1.699442085E+00, 2.165271496E+05
         3, 8.399999738E-01, 1.572307646E-01, 7.951132843E+04, 9.306575245E-01, 6.881291746E+01, 1.823361067E+00, 2.164933534E+05
         4, 8.399999738E-01, 1.529230773E-01, 7.950724030E+04, 9.301002709E-01, 6.638404481E+01, 1.889809361E+00, 2.164465615E+05
         5, 8.399999738E-01, 1.486153901E-01, 7.950419036E+04, 9.293554381E-01, 6.284402837E+01, 1.904362904E+00, 2.163813333E+05
         6, 8.399999738E-01, 1.443076879E-01, 7.950040737E+04, 9.288476447E-01, 6.041338228E+01, 1.954239249E+00, 2.163386379E+05
         7, 8.399999738E-01, 1.400000006E-01, 7.949679847E+04, 9.301402246E-01, 6.715655915E+01, 2.209459580E+00, 2.164614595E+05
         8, 8.399999738E-01, 1.356923133E-01, 7.949354732E+04, 9.330887616E-01, 8.016616867E+01, 2.571672467E+00, 2.167350192E+05
         9, 8.399999738E-01, 1.313846111E-01, 7.948995078E+04, 9.363693611E-01, 9.243904144E+01, 2.878018577E+00, 2.170373400E+05
        10, 8.399999738E-01, 1.270769238E-01, 7.948589398E+04, 9.385798332E-01, 9.988134507E+01, 3.050062569E+00, 2.172415926E+05
        11, 8.399999738E-01, 1.227692291E-01, 7.948185969E+04, 9.391821920E-01, 1.019169700E+02, 3.086868460E+00, 2.173002037E+05
        12, 8.399999738E-01, 1.184615418E-01, 7.947743422E+04, 9.386299775E-01, 1.003557118E+02, 3.040769827E+00, 2.172551296E+05
        13, 8.399999738E-01, 1.141538471E-01, 7.947268909E+04, 9.385071559E-01, 1.001457324E+02, 3.015911602E+00, 2.172491044E+05
        14, 8.399999738E-01, 1.098461524E-01, 7.946852871E+04, 9.398898634E-01, 1.045633088E+02, 3.067471619E+00, 2.173781068E+05
        15, 8.399999738E-01, 1.055384651E-01, 7.946506880E+04, 9.422097290E-01, 1.114387567E+02, 3.146102693E+00, 2.175899564E+05
        16, 8.399999738E-01, 1.012307703E-01, 7.946175310E+04, 9.441150133E-01, 1.167756708E+02, 3.179233818E+00, 2.177636700E+05
        17, 8.399999738E-01, 9.692307562E-02, 7.945843591E+04, 9.447929029E-01, 1.186799110E+02, 3.137149357E+00, 2.178275696E+05
        18, 8.399999738E-01, 9.261538833E-02, 7.945538180E+04, 9.443203682E-01, 1.175293642E+02, 3.029131369E+00, 2.177887197E+05
        19, 8.399999738E-01, 8.830769360E-02, 7.945245815E+04, 9.433086140E-01, 1.149037918E+02, 2.886462326E+00, 2.177015735E+05
