cellnumber,    x-coordinate,    y-coordinate,        pressure,         density,  axial-velocity, radial-velocity,    total-energy
         1, 8.379924893E-01, 1.679611206E-01, 6.921077098E+04, 8.149381585E-01, 9.108933875E+01, 1.929431903E+00, 2.170013662E+05
         2, 8.339772224E-01, 1.678813249E-01, 6.921936929E+04, 8.149579450E-01, 9.075936996E+01, 2.049429400E+00, 2.169928775E+05
         3, 8.299618363E-01, 1.677954644E-01, 6.923547350E+04, 8.150986087E-01, 9.055732660E+01, 2.252122061E+00, 2.169877778E+05
         4, 8.259466887E-01, 1.676994562E-01, 6.924901763E+04, 8.152167220E-01, 9.038267668E+01, 2.543144514E+00, 2.169834704E+05
         5, 8.219318986E-01, 1.675892770E-01, 6.925937418E+04, 8.153070407E-01, 9.024336240E+01, 2.922801274E+00, 2.169801779E+05
         6, 8.179177046E-01, 1.674608588E-01, 6.926584023E+04, 8.153635281E-01, 9.014746960E+01, 3.391088090E+00, 2.169781327E+05
         7, 8.139042258E-01, 1.673101485E-01, 6.926752586E+04, 8.153783260E-01, 9.010437828E+01, 3.947299277E+00, 2.169776071E+05
         8, 8.098918796E-01, 1.671330780E-01, 6.926315946E+04, 8.153399145E-01, 9.012666842E+01, 4.588340401E+00, 2.169789603E+05
         9, 8.058809638E-01, 1.669256389E-01, 6.925073868E+04, 8.152297660E-01, 9.023358005E+01, 5.303161803E+00, 2.169827183E+05
        10, 8.018719554E-01, 1.666846871E-01, 6.922945348E+04, 8.150419771E-01, 9.044029315E+01, 6.054932020E+00, 2.169892617E+05
        11, 7.978650928E-01, 1.664096862E-01, 6.920113885E+04, 8.147961063E-01, 9.074047431E+01, 6.798896066E+00, 2.169983811E+05
        12, 7.938606739E-01, 1.661018580E-01, 6.916665354E+04, 8.144991263E-01, 9.112145391E+01, 7.529056314E+00, 2.170097532E+05
        13, 7.898587584E-01, 1.657626033E-01, 6.912650427E+04, 8.141548119E-01, 9.157405309E+01, 8.244541176E+00, 2.170231540E+05
        14, 7.858595252E-01, 1.653933227E-01, 6.908105392E+04, 8.137659436E-01, 9.209184319E+01, 8.945008122E+00, 2.170384325E+05
        15, 7.818629742E-01, 1.649954021E-01, 6.903058335E+04, 8.133347361E-01, 9.266995704E+01, 9.630372110E+00, 2.170554798E+05
        16, 7.778692842E-01, 1.645702422E-01, 6.897530745E+04, 8.128628947E-01, 9.330455699E+01, 1.030071895E+01, 2.170742148E+05
        17, 7.738783956E-01, 1.641191989E-01, 6.891545455E+04, 8.123523817E-01, 9.399211718E+01, 1.095671244E+01, 2.170945673E+05
        18, 7.698903680E-01, 1.636436582E-01, 6.885130951E+04, 8.118057697E-01, 9.472869134E+01, 1.160058376E+01, 2.171164611E+05
        19, 7.659052014E-01, 1.631447971E-01, 6.878278446E+04, 8.112218683E-01, 9.551216883E+01, 1.223897582E+01, 2.171398861E+05
        20, 7.619228959E-01, 1.626234353E-01, 6.870952280E+04, 8.105971337E-01, 9.634355801E+01, 1.287726939E+01, 2.171649182E+05
        21, 7.579435110E-01, 1.620802283E-01, 6.863129121E+04, 8.099295961E-01, 9.722471914E+01, 1.351646665E+01, 2.171916469E+05
        22, 7.539670467E-01, 1.615158468E-01, 6.854786707E+04, 8.092173628E-01, 9.815724748E+01, 1.415724992E+01, 2.172201576E+05
        23, 7.499936223E-01, 1.609309465E-01, 6.845902623E+04, 8.084585052E-01, 9.914257840E+01, 1.480014928E+01, 2.172505350E+05
        24, 7.460231185E-01, 1.603261679E-01, 6.836455177E+04, 8.076511595E-01, 1.001820099E+02, 1.544539795E+01, 2.172828629E+05
        25, 7.420555949E-01, 1.597021818E-01, 6.826419112E+04, 8.067932403E-01, 1.012773033E+02, 1.609424232E+01, 2.173172473E+05
        26, 7.380910516E-01, 1.590596139E-01, 6.815768034E+04, 8.058825385E-01, 1.024302780E+02, 1.674693841E+01, 2.173537968E+05
        27, 7.341294289E-01, 1.583991349E-01, 6.804473139E+04, 8.049165443E-01, 1.036425267E+02, 1.740402668E+01, 2.173926205E+05
        28, 7.301707864E-01, 1.577214003E-01, 6.792504041E+04, 8.038925909E-01, 1.049156339E+02, 1.806599367E+01, 2.174338320E+05
        29, 7.262149453E-01, 1.570270360E-01, 6.779828418E+04, 8.028078270E-01, 1.062512269E+02, 1.873328856E+01, 2.174775522E+05
        30, 7.222619653E-01, 1.563166976E-01, 6.766411709E+04, 8.016591932E-01, 1.076510096E+02, 1.940633288E+01, 2.175239101E+05
        31, 7.183117867E-01, 1.555910408E-01, 6.752216838E+04, 8.004433966E-01, 1.091167872E+02, 2.008552628E+01, 2.175730445E+05
        32, 7.143642902E-01, 1.548507065E-01, 6.737203905E+04, 7.991568838E-01, 1.106504882E+02, 2.077124950E+01, 2.176251047E+05
        33, 7.104194760E-01, 1.540963054E-01, 6.721329809E+04, 7.977958047E-01, 1.122541897E+02, 2.146386401E+01, 2.176802525E+05
        34, 7.064772844E-01, 1.533285081E-01, 6.704547735E+04, 7.963559639E-01, 1.139301509E+02, 2.216370254E+01, 2.177386635E+05
        35, 7.025375366E-01, 1.525479555E-01, 6.686806411E+04, 7.948327490E-01, 1.156808675E+02, 2.287102757E+01, 2.178005297E+05
        36, 6.986002922E-01, 1.517552584E-01, 6.668050459E+04, 7.932211722E-01, 1.175090911E+02, 2.358586990E+01, 2.178660599E+05
        37, 6.946653128E-01, 1.509511024E-01, 6.648226090E+04, 7.915164441E-01, 1.194175472E+02, 2.430779667E+01, 2.179354700E+05
        38, 6.907325387E-01, 1.501361579E-01, 6.627275281E+04, 7.897133252E-01, 1.214089182E+02, 2.503672177E+01, 2.180089875E+05
        39, 6.868019700E-01, 1.493110806E-01, 6.605134103E+04, 7.878059904E-01, 1.234860640E+02, 2.577277169E+01, 2.180868597E+05
        40, 6.828733087E-01, 1.484765857E-01, 6.581733140E+04, 7.857880957E-01, 1.256521089E+02, 2.651607219E+01, 2.181693565E+05
        41, 6.789465547E-01, 1.476333290E-01, 6.556996886E+04, 7.836527166E-01, 1.279104652E+02, 2.726674910E+01, 2.182567727E+05
        42, 6.750214696E-01, 1.467820108E-01, 6.530843087E+04, 7.813922831E-01, 1.302648619E+02, 2.802493334E+01, 2.183494310E+05
        43, 6.710980535E-01, 1.459233165E-01, 6.503181973E+04, 7.789985015E-01, 1.327193762E+02, 2.879076891E+01, 2.184476852E+05
        44, 6.671761274E-01, 1.450579017E-01, 6.473914603E+04, 7.764621861E-01, 1.352785057E+02, 2.956443077E+01, 2.185519256E+05
        45, 6.632555127E-01, 1.441864669E-01, 6.442931862E+04, 7.737731291E-01, 1.379471423E+02, 3.034608498E+01, 2.186625804E+05
        46, 6.593360901E-01, 1.433096826E-01, 6.410117078E+04, 7.709203715E-01, 1.407304655E+02, 3.113584599E+01, 2.187801138E+05
        47, 6.554177403E-01, 1.424282342E-01, 6.375343072E+04, 7.678920168E-01, 1.436343515E+02, 3.193398919E+01, 2.189050477E+05
        48, 6.515002251E-01, 1.415427774E-01, 6.338476490E+04, 7.646755236E-01, 1.466647849E+02, 3.274081651E+01, 2.190379405E+05
        49, 6.475834846E-01, 1.406540275E-01, 6.299373391E+04, 7.612572037E-01, 1.498279968E+02, 3.355652693E+01, 2.191793944E+05
