cellnumber,    x-coordinate,    y-coordinate,        pressure,         density,  axial-velocity, radial-velocity,    total-energy
         1, 8.379924893E-01, 1.679611206E-01, 7.339690111E+04, 8.623790581E-01, 8.378840922E+01, 1.768021472E+00, 2.168192109E+05
         2, 8.339772224E-01, 1.678813249E-01, 7.340431017E+04, 8.623993069E-01, 8.350956184E+01, 1.882486100E+00, 2.168126180E+05
         3, 8.299618363E-01, 1.677954644E-01, 7.341786624E+04, 8.625172773E-01, 8.333380107E+01, 2.071561102E+00, 2.168085428E+05
         4, 8.259466887E-01, 1.676994562E-01, 7.342940415E+04, 8.626172570E-01, 8.317884250E+01, 2.341248026E+00, 2.168050330E+05
         5, 8.219318986E-01, 1.675892770E-01, 7.343828622E+04, 8.626939353E-01, 8.305307159E+01, 2.691897737E+00, 2.168023033E+05
         6, 8.179177046E-01, 1.674608588E-01, 7.344381368E+04, 8.627413353E-01, 8.296488197E+01, 3.123523527E+00, 2.168005734E+05
         7, 8.139042258E-01, 1.673101485E-01, 7.344512032E+04, 8.627518438E-01, 8.292383376E+01, 3.635437120E+00, 2.168000957E+05
         8, 8.098918796E-01, 1.671330780E-01, 7.344099246E+04, 8.627145217E-01, 8.294249677E+01, 4.224721117E+00, 2.168011976E+05
         9, 8.058809638E-01, 1.669256389E-01, 7.342955756E+04, 8.626121446E-01, 8.303968861E+01, 4.881203506E+00, 2.168043505E+05
        10, 8.018719554E-01, 1.666846871E-01, 7.341003424E+04, 8.624390535E-01, 8.323049349E+01, 5.571386914E+00, 2.168099033E+05
        11, 7.978650928E-01, 1.664096862E-01, 7.338411029E+04, 8.622133327E-01, 8.350935566E+01, 6.254834240E+00, 2.168176865E+05
        12, 7.938606739E-01, 1.661018580E-01, 7.335260927E+04, 8.619417226E-01, 8.386401744E+01, 6.926128884E+00, 2.168274133E+05
        13, 7.898587584E-01, 1.657626033E-01, 7.331601984E+04, 8.616278621E-01, 8.428539482E+01, 7.584345447E+00, 2.168388792E+05
        14, 7.858595252E-01, 1.653933227E-01, 7.327468645E+04, 8.612743645E-01, 8.476712408E+01, 8.229034848E+00, 2.168519461E+05
        15, 7.818629742E-01, 1.649954021E-01, 7.322887040E+04, 8.608832666E-01, 8.530445910E+01, 8.860028330E+00, 2.168665155E+05
        16, 7.778692842E-01, 1.645702422E-01, 7.317877721E+04, 8.604562014E-01, 8.589365328E+01, 9.477367889E+00, 2.168825139E+05
        17, 7.738783956E-01, 1.641191989E-01, 7.312462073E+04, 8.599949943E-01, 8.653127881E+01, 1.008162360E+01, 2.168998773E+05
        18, 7.698903680E-01, 1.636436582E-01, 7.306666327E+04, 8.595019963E-01, 8.721354899E+01, 1.067480813E+01, 2.169185372E+05
        19, 7.659052014E-01, 1.631447971E-01, 7.300482923E+04, 8.589761511E-01, 8.793839093E+01, 1.126295054E+01, 2.169384815E+05
        20, 7.619228959E-01, 1.626234353E-01, 7.293879933E+04, 8.584142824E-01, 8.870666694E+01, 1.185093051E+01, 2.169597724E+05
        21, 7.579435110E-01, 1.620802283E-01, 7.286836483E+04, 8.578146367E-01, 8.952007615E+01, 1.243964308E+01, 2.169824848E+05
        22, 7.539670467E-01, 1.615158468E-01, 7.279332693E+04, 8.571755345E-01, 9.038007733E+01, 1.302966763E+01, 2.170066903E+05
        23, 7.499936223E-01, 1.609309465E-01, 7.271349191E+04, 8.564953285E-01, 9.128794863E+01, 1.362135111E+01, 2.170324585E+05
        24, 7.460231185E-01, 1.603261679E-01, 7.262865381E+04, 8.557723110E-01, 9.224509331E+01, 1.421563153E+01, 2.170598681E+05
        25, 7.420555949E-01, 1.597021818E-01, 7.253859416E+04, 8.550046950E-01, 9.325314405E+01, 1.481284087E+01, 2.170890056E+05
        26, 7.380910516E-01, 1.590596139E-01, 7.244307467E+04, 8.541904292E-01, 9.431347274E+01, 1.541348196E+01, 2.171199555E+05
        27, 7.341294289E-01, 1.583991349E-01, 7.234184611E+04, 8.533273515E-01, 9.542741310E+01, 1.601800300E+01, 2.171528055E+05
        28, 7.301707864E-01, 1.577214003E-01, 7.223464545E+04, 8.524131689E-01, 9.659630715E+01, 1.662681276E+01, 2.171876474E+05
        29, 7.262149453E-01, 1.570270360E-01, 7.212119368E+04, 8.514454400E-01, 9.782153409E+01, 1.724028926E+01, 2.172245788E+05
        30, 7.222619653E-01, 1.563166976E-01, 7.200119388E+04, 8.504215599E-01, 9.910452961E+01, 1.785878463E+01, 2.172637036E+05
        31, 7.183117867E-01, 1.555910408E-01, 7.187432948E+04, 8.493387436E-01, 1.004468006E+02, 1.848262765E+01, 2.173051328E+05
        32, 7.143642902E-01, 1.548507065E-01, 7.174026210E+04, 8.481940073E-01, 1.018499393E+02, 1.911212438E+01, 2.173489852E+05
        33, 7.104194760E-01, 1.540963054E-01, 7.159862902E+04, 8.469841440E-01, 1.033156396E+02, 1.974755601E+01, 2.173953885E+05
        34, 7.064772844E-01, 1.533285081E-01, 7.144903939E+04, 8.457056877E-01, 1.048457223E+02, 2.038916832E+01, 2.174444801E+05
        35, 7.025375366E-01, 1.525479555E-01, 7.129106870E+04, 8.443548598E-01, 1.064421776E+02, 2.103713159E+01, 2.174964092E+05
        36, 6.986002922E-01, 1.517552584E-01, 7.112426296E+04, 8.429276162E-01, 1.081071763E+02, 2.169139216E+01, 2.175513366E+05
        37, 6.946653128E-01, 1.509511024E-01, 7.094819124E+04, 8.414201745E-01, 1.098428015E+02, 2.235146187E+01, 2.176094257E+05
        38, 6.907325387E-01, 1.501361579E-01, 7.076239567E+04, 8.398284544E-01, 1.116510185E+02, 2.301715188E+01, 2.176708458E+05
        39, 6.868019700E-01, 1.493110806E-01, 7.056637757E+04, 8.381479670E-01, 1.135338706E+02, 2.368844700E+01, 2.177357787E+05
        40, 6.828733087E-01, 1.484765857E-01, 7.035960392E+04, 8.363739024E-01, 1.154935478E+02, 2.436531092E+01, 2.178044195E+05
        41, 6.789465547E-01, 1.476333290E-01, 7.014150488E+04, 8.345011023E-01, 1.175323903E+02, 2.504768261E+01, 2.178769784E+05
        42, 6.750214696E-01, 1.467820108E-01, 6.991147060E+04, 8.325240274E-01, 1.196528997E+02, 2.573547492E+01, 2.179536815E+05
        43, 6.710980535E-01, 1.459233165E-01, 6.966884778E+04, 8.304367220E-01, 1.218577521E+02, 2.642857470E+01, 2.180347721E+05
        44, 6.671761274E-01, 1.450579017E-01, 6.941293552E+04, 8.282327714E-01, 1.241498152E+02, 2.712684343E+01, 2.181205131E+05
        45, 6.632555127E-01, 1.441864669E-01, 6.914298077E+04, 8.259052559E-01, 1.265321668E+02, 2.783011850E+01, 2.182111884E+05
        46, 6.593360901E-01, 1.433096826E-01, 6.885817321E+04, 8.234466973E-01, 1.290081163E+02, 2.853821557E+01, 2.183071052E+05
        47, 6.554177403E-01, 1.424282342E-01, 6.855763957E+04, 8.208490006E-01, 1.315812268E+02, 2.925093345E+01, 2.184085969E+05
        48, 6.515002251E-01, 1.415427774E-01, 6.824043267E+04, 8.181033402E-01, 1.342553591E+02, 2.996806715E+01, 2.185160261E+05
        49, 6.475834846E-01, 1.406540275E-01, 6.790550683E+04, 8.151998903E-01, 1.370347406E+02, 3.068940279E+01, 2.186297901E+05
        50, 6.436673999E-01, 1.397626102E-01, 6.755176776E+04, 8.121282724E-01, 1.399236111E+02, 3.141456358E+01, 2.187503077E+05
        51, 6.397516727E-01, 1.388692558E-01, 6.717804351E+04, 8.088774893E-01, 1.429268903E+02, 3.214336494E+01, 2.188780506E+05
        52, 6.358363032E-01, 1.379746050E-01, 6.678311987E+04, 8.054360466E-01, 1.460494339E+02, 3.287563788E+01, 2.190135158E+05
        53, 6.319210529E-01, 1.370793432E-01, 6.636571584E+04, 8.017916794E-01, 1.492961136E+02, 3.361131416E+01, 2.191572308E+05
        54, 6.280058026E-01, 1.361841410E-01, 6.592431979E+04, 7.979296768E-01, 1.526724178E+02, 3.435120936E+01, 2.193097897E+05
        55, 6.240904331E-01, 1.352895945E-01, 6.545697316E+04, 7.938307979E-01, 1.561855730E+02, 3.509773131E+01, 2.194719156E+05
        56, 6.201747060E-01, 1.343962550E-01, 6.496164411E+04, 7.894752734E-01, 1.598441261E+02, 3.585116373E+01, 2.196444165E+05
        57, 6.162586212E-01, 1.335046887E-01, 6.443894078E+04, 7.848709087E-01, 1.636467689E+02, 3.661007315E+01, 2.198276760E+05
        58, 6.123420000E-01, 1.326154321E-01, 6.389426934E+04, 7.800866609E-01, 1.675964414E+02, 3.738038310E+01, 2.200223702E+05
        59, 6.084247231E-01, 1.317290068E-01, 6.334016282E+04, 7.752628573E-01, 1.716554820E+02, 3.819046539E+01, 2.202274684E+05
        60, 6.045067310E-01, 1.308459640E-01, 6.280742526E+04, 7.706972596E-01, 1.756388194E+02, 3.909493823E+01, 2.204347110E+05
        61, 6.005878448E-01, 1.299668550E-01, 6.238020689E+04, 7.672182544E-01, 1.790532780E+02, 4.038282112E+01, 2.206220101E+05
        62, 5.966679454E-01, 1.290922314E-01, 6.216563691E+04, 7.658800643E-01, 1.810289131E+02, 4.344870429E+01, 2.207601071E+05
        63, 5.927469134E-01, 1.282226294E-01, 5.895329463E+04, 7.334902979E-01, 1.933519849E+02, 5.339387579E+01, 2.215553471E+05
        64, 5.888246298E-01, 1.273585856E-01, 1.499137334E+04, 2.986122539E-01, 4.906257729E+02, 1.053152728E+02, 2.517255233E+05
        65, 5.849010348E-01, 1.265006512E-01, 1.535958398E+04, 3.038644173E-01, 4.884524835E+02, 1.039553613E+02, 2.513815087E+05
        66, 5.809760094E-01, 1.256493628E-01, 1.574274940E+04, 3.092885646E-01, 4.862204500E+02, 1.025237435E+02, 2.510291246E+05
        67, 5.770494342E-01, 1.248052865E-01, 1.614065366E+04, 3.148827002E-01, 4.839375951E+02, 1.010231020E+02, 2.506697417E+05
        68, 5.731211901E-01, 1.239689514E-01, 1.655380728E+04, 3.206508926E-01, 4.816025782E+02, 9.945333324E+01, 2.503033608E+05
        69, 5.691911578E-01, 1.231409088E-01, 1.698282757E+04, 3.265985125E-01, 4.792135984E+02, 9.781338154E+01, 2.499299035E+05
        70, 5.652593374E-01, 1.223217025E-01, 1.742851437E+04, 3.327332707E-01, 4.767681529E+02, 9.610051918E+01, 2.495491633E+05
        71, 5.613254905E-01, 1.215118915E-01, 1.789200756E+04, 3.390672991E-01, 4.742623917E+02, 9.430908329E+01, 2.491606923E+05
        72, 5.573896766E-01, 1.207120493E-01, 1.837509392E+04, 3.456211667E-01, 4.716897936E+02, 9.242840560E+01, 2.487635817E+05
        73, 5.534516573E-01, 1.199229285E-01, 1.887981019E+04, 3.524181442E-01, 4.690427105E+02, 9.044746105E+01, 2.483568145E+05
        74, 5.495113134E-01, 1.191454232E-01, 1.940704261E+04, 3.594652091E-01, 4.663181840E+02, 8.836666496E+01, 2.479403465E+05
        75, 5.455685854E-01, 1.183804125E-01, 1.995749006E+04, 3.667665517E-01, 4.635140214E+02, 8.618840805E+01, 2.475143049E+05
        76, 5.416232347E-01, 1.176287904E-01, 2.053186422E+04, 3.743263107E-01, 4.606279464E+02, 8.391519967E+01, 2.470788235E+05
        77, 5.376751423E-01, 1.168914810E-01, 2.113088909E+04, 3.821485630E-01, 4.576575903E+02, 8.154967219E+01, 2.466340411E+05
        78, 5.337243080E-01, 1.161693707E-01, 2.175530002E+04, 3.902373105E-01, 4.546004908E+02, 7.909459106E+01, 2.461801020E+05
        79, 5.297706127E-01, 1.154633686E-01, 2.240584269E+04, 3.985964679E-01, 4.514540904E+02, 7.655286707E+01, 2.457171555E+05
        80, 5.258138180E-01, 1.147743836E-01, 2.308327186E+04, 4.072298482E-01, 4.482157344E+02, 7.392757253E+01, 2.452453557E+05
        81, 5.218539834E-01, 1.141033322E-01, 2.378834956E+04, 4.161411412E-01, 4.448826700E+02, 7.122196535E+01, 2.447648622E+05
        82, 5.178909898E-01, 1.134511158E-01, 2.452184163E+04, 4.253338731E-01, 4.414520512E+02, 6.843952918E+01, 2.442758405E+05
        83, 5.139248371E-01, 1.128186733E-01, 2.528451043E+04, 4.348113182E-01, 4.379209562E+02, 6.558404629E+01, 2.437784658E+05
        84, 5.099554658E-01, 1.122069061E-01, 2.607709854E+04, 4.445763034E-01, 4.342864381E+02, 6.265973874E+01, 2.432729305E+05
        85, 5.059827566E-01, 1.116167307E-01, 2.690029133E+04, 4.546307608E-01, 4.305456546E+02, 5.967155323E+01, 2.427594637E+05
        86, 5.020068288E-01, 1.110490859E-01, 2.775463066E+04, 4.649747057E-01, 4.266961860E+02, 5.662574958E+01, 2.422383753E+05
        87, 4.980275929E-01, 1.105048805E-01, 2.864031274E+04, 4.756038643E-01, 4.227368102E+02, 5.353113141E+01, 2.417101606E+05
        88, 4.940450788E-01, 1.099850461E-01, 2.955670390E+04, 4.865040533E-01, 4.186694182E+02, 5.040161247E+01, 2.411757469E+05
        89, 4.900594056E-01, 1.094904914E-01, 3.050114164E+04, 4.976374062E-01, 4.145039141E+02, 4.726143018E+01, 2.406371010E+05
        90, 4.860705435E-01, 1.090218797E-01, 3.146635062E+04, 5.089131883E-01, 4.102691589E+02, 4.415302186E+01, 2.400985123E+05
        91, 4.820787311E-01, 1.085793972E-01, 3.244629697E+04, 5.202587234E-01, 4.059894866E+02, 4.110539674E+01, 2.395633048E+05
        92, 4.780840874E-01, 1.081629768E-01, 3.344025902E+04, 5.316653570E-01, 4.016675522E+02, 3.812017588E+01, 2.390318061E+05
        93, 4.740868211E-01, 1.077725291E-01, 3.444784526E+04, 5.431282912E-01, 3.973043075E+02, 3.519750917E+01, 2.385041226E+05
        94, 4.700871408E-01, 1.074079797E-01, 3.546869483E+04, 5.546432084E-01, 3.929004492E+02, 3.233751598E+01, 2.379803312E+05
        95, 4.660851657E-01, 1.070692316E-01, 3.650248688E+04, 5.662063679E-01, 3.884564015E+02, 2.954029985E+01, 2.374604794E+05
        96, 4.620811045E-01, 1.067562103E-01, 3.754895546E+04, 5.778147447E-01, 3.839722600E+02, 2.680595626E+01, 2.369445810E+05
        97, 4.580751061E-01, 1.064688340E-01, 3.860790681E+04, 5.894661891E-01, 3.794477251E+02, 2.413458198E+01, 2.364326110E+05
        98, 4.540673792E-01, 1.062070206E-01, 3.967923956E+04, 6.011596091E-01, 3.748820231E+02, 2.152628615E+01, 2.359244998E+05
        99, 4.500580430E-01, 1.059706956E-01, 4.076296883E+04, 6.128951896E-01, 3.702738104E+02, 1.898120320E+01, 2.354201262E+05
       100, 4.460473061E-01, 1.057597697E-01, 4.185925687E+04, 6.246746700E-01, 3.656210498E+02, 1.649950801E+01, 2.349193086E+05
       101, 4.420353174E-01, 1.055741757E-01, 4.296845592E+04, 6.365017419E-01, 3.609208328E+02, 1.408143612E+01, 2.344217913E+05
       102, 4.380222261E-01, 1.054138243E-01, 4.409117608E+04, 6.483826927E-01, 3.561690946E+02, 1.172732008E+01, 2.339272218E+05
       103, 4.340082407E-01, 1.052786484E-01, 4.522840396E+04, 6.603275543E-01, 3.513601108E+02, 9.437679778E+00, 2.334351084E+05
       104, 4.299934506E-01, 1.051685736E-01, 4.638171623E+04, 6.723521873E-01, 3.464855884E+02, 7.213485425E+00, 2.329447428E+05
       105, 4.259780645E-01, 1.050835177E-01, 4.755362782E+04, 6.844816567E-01, 3.415331790E+02, 5.056950928E+00, 2.324550742E+05
       106, 4.219622314E-01, 1.050234213E-01, 4.874785842E+04, 6.967525911E-01, 3.364853135E+02, 2.973883913E+00, 2.319646266E+05
       107, 4.179461002E-01, 1.049881428E-01, 4.996821848E+04, 7.092012831E-01, 3.313238034E+02, 9.785758029E-01, 2.314719666E+05
       108, 4.139298499E-01, 1.049772874E-01, 5.121781769E+04, 7.218557419E-01, 3.260333561E+02,-9.041948112E-01, 2.309760177E+05
       109, 4.099135995E-01, 1.049901843E-01, 5.255435953E+04, 7.352935143E-01, 3.203715288E+02,-2.662471030E+00, 2.304550124E+05
       110, 4.058974981E-01, 1.050261110E-01, 5.399339645E+04, 7.496509286E-01, 3.142677222E+02,-4.335558430E+00, 2.299042824E+05
       111, 4.018816352E-01, 1.050843522E-01, 5.514387321E+04, 7.611113751E-01, 3.094406837E+02,-5.889240759E+00, 2.294772209E+05
       112, 3.978661597E-01, 1.051641703E-01, 5.625222759E+04, 7.720971385E-01, 3.047897306E+02,-7.344320224E+00, 2.290725875E+05
       113, 3.938511312E-01, 1.052648351E-01, 5.733408756E+04, 7.827604517E-01, 3.002379334E+02,-8.704685688E+00, 2.286829802E+05
       114, 3.898366690E-01, 1.053856313E-01, 5.839324390E+04, 7.931436226E-01, 2.957681608E+02,-9.973155931E+00, 2.283064653E+05
       115, 3.858228326E-01, 1.055258214E-01, 5.943087419E+04, 8.032627476E-01, 2.913746203E+02,-1.115277830E+01, 2.279421577E+05
       116, 3.818096817E-01, 1.056846902E-01, 6.044726811E+04, 8.131248663E-01, 2.870553828E+02,-1.224666966E+01, 2.275895343E+05
       117, 3.777972758E-01, 1.058614925E-01, 6.144234696E+04, 8.227331839E-01, 2.828101874E+02,-1.325795809E+01, 2.272482309E+05
       118, 3.737857044E-01, 1.060555130E-01, 6.241585788E+04, 8.320890260E-01, 2.786396222E+02,-1.418976223E+01, 2.269179664E+05
       119, 3.697749078E-01, 1.062660292E-01, 6.336745007E+04, 8.411926088E-01, 2.745447983E+02,-1.504518737E+01, 2.265985116E+05
       120, 3.657650054E-01, 1.064923108E-01, 6.429669388E+04, 8.500432367E-01, 2.705272602E+02,-1.582733679E+01, 2.262896783E+05
       121, 3.617559671E-01, 1.067336351E-01, 6.520305425E+04, 8.586390502E-01, 2.665890745E+02,-1.653935363E+01, 2.259913237E+05
       122, 3.577477932E-01, 1.069892794E-01, 6.608580086E+04, 8.669761500E-01, 2.627331597E+02,-1.718454983E+01, 2.257033727E+05
       123, 3.537405431E-01, 1.072585136E-01, 6.694382896E+04, 8.750468593E-01, 2.589639449E+02,-1.776682796E+01, 2.254258639E+05
       124, 3.497341573E-01, 1.075406447E-01, 6.777577826E+04, 8.828410941E-01, 2.552870101E+02,-1.829213532E+01, 2.251589236E+05
