cellnumber,    x-coordinate,    y-coordinate,        pressure,         density,  axial-velocity, radial-velocity,    total-energy
         1, 8.379999995E-01, 0.000000000E+00, 6.203796358E+04, 7.507895530E-01, 1.562401727E+02, 3.749808398E-01, 2.192987050E+05
         2, 8.339999914E-01, 0.000000000E+00, 6.199519592E+04, 7.507095758E-01, 1.573174751E+02, 3.368980201E-01, 2.193468716E+05
         3, 8.299999833E-01, 0.000000000E+00, 6.191355131E+04, 7.500264129E-01, 1.580654312E+02, 3.015001764E-01, 2.193805071E+05
         4, 8.259999752E-01, 0.000000000E+00, 6.183418225E+04, 7.493490940E-01, 1.587583338E+02, 2.844369532E-01, 2.194118107E+05
         5, 8.220000267E-01, 0.000000000E+00, 6.175521123E+04, 7.486674035E-01, 1.594271674E+02, 2.773422723E-01, 2.194421577E+05
         6, 8.180000186E-01, 0.000000000E+00, 6.167550710E+04, 7.479747535E-01, 1.600894137E+02, 2.759243359E-01, 2.194723320E+05
         7, 8.140000105E-01, 0.000000000E+00, 6.159432081E+04, 7.472663284E-01, 1.607554545E+02, 2.779216944E-01, 2.195028055E+05
         8, 8.100000024E-01, 0.000000000E+00, 6.151113200E+04, 7.465385352E-01, 1.614318320E+02, 2.820727642E-01, 2.195338817E+05
         9, 8.059999943E-01, 0.000000000E+00, 6.142557400E+04, 7.457887398E-01, 1.621228499E+02, 2.876287788E-01, 2.195657654E+05
        10, 8.019999862E-01, 0.000000000E+00, 6.133729524E+04, 7.450140789E-01, 1.628317832E+02, 2.942681789E-01, 2.195986173E+05
        11, 7.979999781E-01, 0.000000000E+00, 6.124602025E+04, 7.442123336E-01, 1.635612103E+02, 3.016993947E-01, 2.196325686E+05
        12, 7.940000296E-01, 0.000000000E+00, 6.115148924E+04, 7.433813034E-01, 1.643132748E+02, 3.097484584E-01, 2.196677324E+05
        13, 7.900000215E-01, 0.000000000E+00, 6.105362437E+04, 7.425206165E-01, 1.650891943E+02, 3.180646104E-01, 2.197041808E+05
        14, 7.860000134E-01, 0.000000000E+00, 6.095206726E+04, 7.416267354E-01, 1.658907480E+02, 3.270682147E-01, 2.197420136E+05
        15, 7.820000052E-01, 0.000000000E+00, 6.084648541E+04, 7.406966389E-01, 1.667201728E+02, 3.369416958E-01, 2.197813550E+05
        16, 7.779999971E-01, 0.000000000E+00, 6.073659836E+04, 7.397278679E-01, 1.675795169E+02, 3.469187429E-01, 2.198223224E+05
        17, 7.739999890E-01, 0.000000000E+00, 6.062211554E+04, 7.387175669E-01, 1.684701740E+02, 3.574192928E-01, 2.198650049E+05
        18, 7.699999809E-01, 0.000000000E+00, 6.050291297E+04, 7.376648477E-01, 1.693933786E+02, 3.687188000E-01, 2.199094861E+05
        19, 7.660000324E-01, 0.000000000E+00, 6.037898802E+04, 7.365711654E-01, 1.703523260E+02, 3.805085436E-01, 2.199559468E+05
        20, 7.620000243E-01, 0.000000000E+00, 6.024996648E+04, 7.354332281E-01, 1.713496650E+02, 3.923527986E-01, 2.200045458E+05
        21, 7.580000162E-01, 0.000000000E+00, 6.011566202E+04, 7.342485817E-01, 1.723847060E+02, 4.038641420E-01, 2.200552820E+05
        22, 7.540000081E-01, 0.000000000E+00, 5.997593536E+04, 7.330157703E-01, 1.734577357E+02, 4.152398653E-01, 2.201082028E+05
        23, 7.500000000E-01, 0.000000000E+00, 5.983052354E+04, 7.317321646E-01, 1.745698011E+02, 4.267335386E-01, 2.201633953E+05
        24, 7.459999919E-01, 0.000000000E+00, 5.967923474E+04, 7.303960619E-01, 1.757220700E+02, 4.382675486E-01, 2.202209552E+05
        25, 7.419999838E-01, 0.000000000E+00, 5.952191220E+04, 7.290060951E-01, 1.769154883E+02, 4.497227764E-01, 2.202809699E+05
        26, 7.379999757E-01, 0.000000000E+00, 5.935842347E+04, 7.275610897E-01, 1.781507594E+02, 4.609874579E-01, 2.203435170E+05
        27, 7.340000272E-01, 0.000000000E+00, 5.918866566E+04, 7.260601210E-01, 1.794283336E+02, 4.719442278E-01, 2.204086639E+05
